date,rain_mm,runoff+excess,crop uptake,Soil Moisture(SM),Percolation to Ground Water(GW)
2022-07-30,0.0,0.0,4,0.8550399999999989,0.21375999999999973
2022-07-31,0.0,0.0,0.8550399999999989,0,0
2022-08-01,0.0,0.0,0.0,0,0
2022-08-02,0.0,0.0,0.0,0,0
2022-08-03,0.0,0.0,0.0,0,0
2022-08-04,6.75,1.35,4,1.1200000000000003,0.2800000000000001
2022-08-05,0.5,0.1,1.5200000000000005,0,0
2022-08-06,0.0,0.0,0.0,0,0
2022-08-07,0.0,0.0,0.0,0,0
2022-08-08,26.0,7.8,4,11.36,2.84
2022-08-09,0.5,0.1,4,6.208,1.552
2022-08-10,3.0,0.6000000000000001,4,3.6864000000000003,0.9216000000000002
2022-08-11,0.25,0.05,3.8864000000000005,0,0
2022-08-12,1.25,0.25,1.0,0,0
2022-08-13,0.0,0.0,0.0,0,0
2022-08-14,0.0,0.0,0.0,0,0
2022-08-15,4.25,0.8500000000000001,3.4,0,0
2022-08-16,0.0,0.0,0.0,0,0
2022-08-17,0.0,0.0,0.0,0,0
2022-08-18,1.25,0.25,1.0,0,0
2022-08-19,0.0,0.0,0.0,0,0
2022-08-20,0.0,0.0,0.0,0,0
2022-08-21,0.0,0.0,0.0,0,0
2022-08-22,2.0,0.4,1.6,0,0
2022-08-23,0.0,0.0,0.0,0,0
2022-08-24,0.0,0.0,0.0,0,0
2022-08-25,1.25,0.25,1.0,0,0
2022-08-26,0.0,0.0,0.0,0,0
2022-08-27,0.0,0.0,0.0,0,0
2022-08-28,0.0,0.0,0.0,0,0
2022-08-29,0.0,0.0,0.0,0,0
2022-08-30,17.25,3.45,4,7.840000000000001,1.9600000000000002
2022-08-31,0.0,0.0,4,3.0720000000000005,0.7680000000000002
2022-09-01,33.5,10.049999999999999,4,18.0176,4.5044
2022-09-02,0.0,0.0,4,11.214080000000001,2.8035200000000007
2022-09-03,38.5,11.549999999999999,4,27.331264000000004,6.832816000000001
2022-09-04,8.0,1.6,4,23.785011200000003,5.946252800000001
2022-09-05,0.5,0.1,4,16.148008960000002,4.0370022400000005
2022-09-06,0.0,0.0,4,9.718407168000002,2.4296017920000006
2022-09-07,1.75,0.35000000000000003,4,5.694725734400002,1.4236814336000005
2022-09-08,3.0,0.6000000000000001,4,3.275780587520002,0.8189451468800005
2022-09-09,11.25,2.25,4,6.6206244700160015,1.6551561175040004
2022-09-10,22.0,4.4,4,16.1764995760128,4.0441248940032
2022-09-11,8.25,1.6500000000000001,4,15.021199660810243,3.755299915202561
2022-09-12,14.25,2.85,4,17.936959728648198,4.484239932162049
2022-09-13,5.0,1.0,4,14.349567782918559,3.5873919457296397
2022-09-14,0.75,0.15000000000000002,4,8.759654226334847,2.189913556583712
2022-09-15,0.0,0.0,4,3.807723381067878,0.9519308452669695
2022-09-16,13.0,2.6,4,8.166178704854303,2.041544676213576
2022-09-17,3.75,0.75,4,5.732942963883443,1.4332357409708607
2022-09-18,58.75,23.5,4,29.586354371106758,7.3965885927766895
2022-09-19,79.5,39.75,4,52.2690834968854,13.06727087422135
2022-09-20,0.0,0.0,4,38.61526679750832,9.653816699377082
2022-09-21,0.0,0.0,4,27.692213438006654,6.923053359501664
2022-09-22,8.25,1.6500000000000001,4,24.233770750405323,6.058442687601332
2022-09-23,0.0,0.0,4,16.18701660032426,4.046754150081065
2022-09-24,0.0,0.0,4,9.749613280259407,2.437403320064852
2022-09-25,0.0,0.0,4,4.5996906242075255,1.1499226560518814
2022-09-26,0.0,0.0,4,0.4797524993660204,0.11993812484150511
2022-09-27,0.0,0.0,0.4797524993660204,0,0
2022-09-28,0.0,0.0,0.0,0,0
2022-09-29,0.0,0.0,0.0,0,0
2022-09-30,0.0,0.0,0.0,0,0
2022-10-01,0.0,0.0,0.0,0,0
2022-10-02,0.0,0.0,0.0,0,0
2022-10-03,0.0,0.0,0.0,0,0
2022-10-04,0.0,0.0,0.0,0,0
2022-10-05,0.0,0.0,0.0,0,0
2022-10-06,0.0,0.0,0.0,0,0
2022-10-07,100.25,70.175,4,20.860000000000003,5.215000000000001
2022-10-08,3.0,0.6000000000000001,4,15.408000000000001,3.8520000000000003
2022-10-09,0.0,0.0,4,9.1264,2.2816000000000005
2022-10-10,0.0,0.0,4,4.10112,1.0252800000000002
2022-10-11,0.0,0.0,4,0.0808959999999999,0.020223999999999978
2022-10-12,0.0,0.0,0.0808959999999999,0,0
2022-10-13,1.25,0.25,1.0,0,0
2022-10-14,0.0,0.0,0.0,0,0
2022-10-15,0.0,0.0,0.0,0,0
2022-10-16,0.0,0.0,0.0,0,0
2022-10-17,1.75,0.35000000000000003,1.4,0,0
2022-10-18,49.0,14.7,4,24.24,6.06
2022-10-19,31.75,9.525,4,33.972,8.493
2022-10-20,0.0,0.0,4,23.977600000000002,5.994400000000001
2022-10-21,3.5,0.7000000000000001,4,18.222080000000002,4.5555200000000005
2022-10-22,0.0,0.0,4,11.377664000000001,2.8444160000000007
2022-10-23,0.0,0.0,4,5.902131200000001,1.4755328000000003
2022-10-24,0.0,0.0,4,1.521704960000001,0.38042624000000025
2022-10-25,0.0,0.0,1.521704960000001,0,0
2022-10-26,0.0,0.0,0.0,0,0
2022-10-27,0.0,0.0,0.0,0,0
2022-10-28,0.0,0.0,0.0,0,0
2022-10-29,0.0,0.0,0.0,0,0
2022-10-30,0.0,0.0,0.0,0,0
2022-10-31,0.0,0.0,0.0,0,0
2022-11-01,0.0,0.0,0.0,0,0
2022-11-02,0.0,0.0,0.0,0,0
2022-11-03,0.0,0.0,0.0,0,0
2022-11-04,0.0,0.0,0.0,0,0
2022-11-05,0.0,0.0,0.0,0,0
2022-11-06,0.0,0.0,0.0,0,0
2022-11-07,0.0,0.0,0.0,0,0
2022-11-08,0.0,0.0,0.0,0,0
2022-11-09,0.0,0.0,0.0,0,0
2022-11-10,0.0,0.0,0.0,0,0
2022-11-11,0.0,0.0,0.0,0,0
2022-11-12,0.0,0.0,0.0,0,0
